010,PIEMONTE
020,VALLE D'AOSTA
030,LOMBARDIA
041,PROVINCIA DI TRENTO
042,PROVICIA DI BOLZANO
050,VENETO
060,FRIULI VENEZIA GIULIA
070,LIGURIA
080,EMILIA ROMAGNA
090,TOSCANA
100,UMBRIA
110,MARCHE
120,LAZIO
130,ABRUZZO
140,MOLISE
150,CAMPANIA
160,PUGLIA
170,BASILICATA
180,CALABRIA
190,SICILIA
200,SARDEGNA
999,ESTERO
